series,event_ticker,match,kickoff_utc,snapshot_utc,market_ticker,outcome,price_2h_before,implied_prob,decimal_odds,yes_bid,yes_ask,result,market_status,volume_at_snapshot
KXWCSCORE,KXWCSCORE-26JUL06USABEL,USA vs Belgium: Regulation Time Correct Score,2026-07-07T03:00:00+00:00,2026-07-07T01:00:00+00:00,KXWCSCORE-26JUL06USABEL-USA0BEL0,Reg Time: Draw 0-0,0.01,0.01,100.0,0.0,0.01,no,finalized,70531.73
KXWCSCORE,KXWCSCORE-26JUL06USABEL,USA vs Belgium: Regulation Time Correct Score,2026-07-07T03:00:00+00:00,2026-07-07T01:00:00+00:00,KXWCSCORE-26JUL06USABEL-USA0BEL1,Reg Time: Belgium wins 1-0,0.01,0.01,100.0,0.0,0.01,no,finalized,369992.12
KXWCSCORE,KXWCSCORE-26JUL06USABEL,USA vs Belgium: Regulation Time Correct Score,2026-07-07T03:00:00+00:00,2026-07-07T01:00:00+00:00,KXWCSCORE-26JUL06USABEL-USA0BEL2,Reg Time: Belgium wins 2-0,0.01,0.01,100.0,0.0,0.01,no,finalized,458330.27
KXWCSCORE,KXWCSCORE-26JUL06USABEL,USA vs Belgium: Regulation Time Correct Score,2026-07-07T03:00:00+00:00,2026-07-07T01:00:00+00:00,KXWCSCORE-26JUL06USABEL-USA0BEL3,Reg Time: Belgium wins 3-0,0.01,0.01,100.0,0.0,0.01,no,finalized,316167.64
KXWCSCORE,KXWCSCORE-26JUL06USABEL,USA vs Belgium: Regulation Time Correct Score,2026-07-07T03:00:00+00:00,2026-07-07T01:00:00+00:00,KXWCSCORE-26JUL06USABEL-USA0BEL4,Reg Time: Belgium wins 4-0,0.01,0.01,100.0,0.0,0.01,no,finalized,224294.20
KXWCSCORE,KXWCSCORE-26JUL06USABEL,USA vs Belgium: Regulation Time Correct Score,2026-07-07T03:00:00+00:00,2026-07-07T01:00:00+00:00,KXWCSCORE-26JUL06USABEL-USA1BEL0,Reg Time: USA wins 1-0,0.01,0.01,100.0,0.0,0.01,no,finalized,142907.27
KXWCSCORE,KXWCSCORE-26JUL06USABEL,USA vs Belgium: Regulation Time Correct Score,2026-07-07T03:00:00+00:00,2026-07-07T01:00:00+00:00,KXWCSCORE-26JUL06USABEL-USA1BEL1,Reg Time: Draw 1-1,0.01,0.01,100.0,0.0,0.01,no,finalized,313855.09
KXWCSCORE,KXWCSCORE-26JUL06USABEL,USA vs Belgium: Regulation Time Correct Score,2026-07-07T03:00:00+00:00,2026-07-07T01:00:00+00:00,KXWCSCORE-26JUL06USABEL-USA1BEL2,Reg Time: Belgium wins 2-1,0.16,0.16,6.25,0.15,0.16,no,finalized,933428.56
KXWCSCORE,KXWCSCORE-26JUL06USABEL,USA vs Belgium: Regulation Time Correct Score,2026-07-07T03:00:00+00:00,2026-07-07T01:00:00+00:00,KXWCSCORE-26JUL06USABEL-USA1BEL3,Reg Time: Belgium wins 3-1,0.18,0.18,5.556,0.17,0.18,no,finalized,599344.60
KXWCSCORE,KXWCSCORE-26JUL06USABEL,USA vs Belgium: Regulation Time Correct Score,2026-07-07T03:00:00+00:00,2026-07-07T01:00:00+00:00,KXWCSCORE-26JUL06USABEL-USA1BEL4,Reg Time: Belgium wins 4-1,0.07,0.07,14.286,0.06,0.07,yes,finalized,354739.88
