scraped_date,match_date,match_link,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market,match_date_parsed
2026-07-06 22:09:46 UTC,2026-06-27 17:00:00 UTC,"https://www.oddsportal.com/football/h2h/croatia-K8aznggo/ghana-nNBjHale/#6mbbuBSb",Croatia,Ghana,World Championship 2026,2.0,1.0,"(1:0, 1:1)",Lincoln Financial Field,"Philadelphia, PA",USA,"[{'1': '1.86', 'X': '3.17', '2': '5.59', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.75', 'X': '3.10', '2': '4.80', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.80', 'X': '3.10', '2': '5.75', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.78', 'X': '3.20', '2': '5.60', 'bookmaker_name': 'Betfury', 'period': 'FullTime'}, {'1': '1.78', 'X': '3.21', '2': '5.70', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'1': '1.78', 'X': '3.20', '2': '5.25', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '1.81', 'X': '3.20', '2': '5.65', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'1': '1.83', 'X': '3.10', '2': '5.45', 'bookmaker_name': 'Melbet', 'period': 'FullTime'}, {'1': '1.90', 'X': '3.25', '2': '5.20', 'bookmaker_name': 'Mozzartbet', 'period': 'FullTime'}, {'1': '1.78', 'X': '3.23', '2': '5.60', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}, {'1': '1.78', 'X': '3.20', '2': '5.60', 'bookmaker_name': 'Roobet', 'period': 'FullTime'}, {'1': '1.74', 'X': '3.09', '2': '5.26', 'bookmaker_name': 'Shuffle', 'period': 'FullTime'}, {'1': '1.80', 'X': '3.10', '2': '5.50', 'bookmaker_name': 'Sports Interaction', 'period': 'FullTime'}, {'1': '1.80', 'X': '3.15', '2': '5.20', 'bookmaker_name': 'Stake.com', 'period': 'FullTime'}]",2026-06-27 17:00:00+00:00
2026-07-06 22:11:27 UTC,2026-07-02 23:00:00 UTC,"https://www.oddsportal.com/football/h2h/algeria-nc87N1BR/switzerland-rHJ2vy1B/#rgxknWwh",Switzerland,Algeria,World Championship 2026,2.0,0.0,"(1:0, 1:0)",BC Place,"Vancouver, BC",Canada,"[{'1': '1.95', 'X': '3.18', '2': '4.91', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '2.00', 'X': '3.10', '2': '3.70', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.95', 'X': '3.10', '2': '4.50', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.97', 'X': '3.15', '2': '4.40', 'bookmaker_name': 'Betfury', 'period': 'FullTime'}, {'1': '1.96', 'X': '3.19', '2': '4.40', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'1': '1.95', 'X': '3.20', '2': '4.20', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '2.02', 'X': '3.20', '2': '4.35', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'1': '1.91', 'X': '3.12', '2': '4.80', 'bookmaker_name': 'Melbet', 'period': 'FullTime'}, {'1': '2.05', 'X': '3.30', '2': '4.30', 'bookmaker_name': 'Mozzartbet', 'period': 'FullTime'}, {'1': '1.96', 'X': '3.19', '2': '4.40', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}, {'1': '1.97', 'X': '3.15', '2': '4.40', 'bookmaker_name': 'Roobet', 'period': 'FullTime'}, {'1': '1.91', 'X': '3.08', '2': '4.19', 'bookmaker_name': 'Shuffle', 'period': 'FullTime'}, {'1': '1.98', 'X': '3.20', '2': '4.33', 'bookmaker_name': 'Sports Interaction', 'period': 'FullTime'}, {'1': '1.98', 'X': '3.20', '2': '4.30', 'bookmaker_name': 'Stake.com', 'period': 'FullTime'}]",2026-07-02 23:00:00+00:00
2026-07-06 22:15:52 UTC,2026-06-23 19:00:00 UTC,"https://www.oddsportal.com/football/h2h/croatia-K8aznggo/panama-OWKqbCfi/#CSkWyxM6",Panama,Croatia,World Championship 2026,0.0,1.0,"(0:0, 0:1)",BMO Field,"Toronto, ON",Canada,"[{'1': '8.16', 'X': '4.71', '2': '1.44', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '7.00', 'X': '4.20', '2': '1.40', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '7.50', 'X': '4.60', '2': '1.42', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '8.00', 'X': '4.50', '2': '1.42', 'bookmaker_name': 'Betfury', 'period': 'FullTime'}, {'1': '7.90', 'X': '4.60', '2': '1.42', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'1': '7.50', 'X': '4.50', '2': '1.43', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '7.90', 'X': '4.55', '2': '1.46', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'1': '7.90', 'X': '4.60', '2': '1.41', 'bookmaker_name': 'Melbet', 'period': 'FullTime'}, {'1': '7.75', 'X': '4.60', '2': '1.47', 'bookmaker_name': 'Mozzartbet', 'period': 'FullTime'}, {'1': '7.90', 'X': '4.60', '2': '1.42', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}, {'1': '8.00', 'X': '4.50', '2': '1.42', 'bookmaker_name': 'Roobet', 'period': 'FullTime'}, {'1': '7.25', 'X': '4.35', '2': '1.39', 'bookmaker_name': 'Shuffle', 'period': 'FullTime'}, {'1': '7.75', 'X': '4.50', '2': '1.42', 'bookmaker_name': 'Sports Interaction', 'period': 'FullTime'}, {'1': '7.40', 'X': '4.70', '2': '1.40', 'bookmaker_name': 'Stake.com', 'period': 'FullTime'}]",2026-06-23 19:00:00+00:00
2026-07-06 22:16:31 UTC,2026-06-18 12:00:00 UTC,"https://www.oddsportal.com/football/h2h/czech-republic-6LHwBDGU/south-africa-W2ijYvlr/#8nrACRTs",Czech Republic,South Africa,World Championship 2026,1.0,1.0,"(1:0, 0:1)",Mercedes-Benz Stadium,"Atlanta, GA",USA,"[{'1': '1.86', 'X': '3.61', '2': '4.61', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.83', 'X': '3.30', '2': '4.20', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.85', 'X': '3.50', '2': '4.20', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.88', 'X': '3.50', '2': '4.30', 'bookmaker_name': 'Betfury', 'period': 'FullTime'}, {'1': '1.89', 'X': '3.40', '2': '4.40', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'1': '1.85', 'X': '3.40', '2': '4.20', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '1.93', 'X': '3.35', '2': '4.50', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'1': '1.82', 'X': '3.52', '2': '4.50', 'bookmaker_name': 'Melbet', 'period': 'FullTime'}, {'1': '1.95', 'X': '3.50', '2': '4.50', 'bookmaker_name': 'Mozzartbet', 'period': 'FullTime'}, {'1': '1.89', 'X': '3.40', '2': '4.40', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}, {'1': '1.89', 'X': '3.60', '2': '4.10', 'bookmaker_name': 'Roobet', 'period': 'FullTime'}, {'1': '1.81', 'X': '3.34', '2': '4.28', 'bookmaker_name': 'Shuffle', 'period': 'FullTime'}, {'1': '1.87', 'X': '3.40', '2': '4.33', 'bookmaker_name': 'Sports Interaction', 'period': 'FullTime'}, {'1': '1.86', 'X': '3.45', '2': '4.40', 'bookmaker_name': 'Stake.com', 'period': 'FullTime'}]",2026-06-18 12:00:00+00:00
2026-07-06 22:17:59 UTC,2026-07-02 15:00:00 UTC,"https://www.oddsportal.com/football/h2h/austria-naHiWdnt/spain-bLyo6mco/#jJucpA84",Spain,Austria,World Championship 2026,3.0,0.0,"(1:0, 2:0)",SoFi Stadium,"Inglewood, CA",USA,"[{'1': '1.35', 'X': '5.09', '2': '10.80', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.30', 'X': '4.75', '2': '9.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.33', 'X': '5.00', '2': '10.00', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.33', 'X': '5.00', '2': '10.00', 'bookmaker_name': 'Betfury', 'period': 'FullTime'}, {'1': '1.35', 'X': '4.90', '2': '9.50', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'1': '1.33', 'X': '5.00', '2': '9.00', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '1.35', 'X': '5.05', '2': '9.90', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'1': '1.32', 'X': '4.98', '2': '10.50', 'bookmaker_name': 'Melbet', 'period': 'FullTime'}, {'1': '1.35', 'X': '5.30', '2': '10.50', 'bookmaker_name': 'Mozzartbet', 'period': 'FullTime'}, {'1': '1.35', 'X': '4.90', '2': '9.50', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}, {'1': '1.33', 'X': '5.00', '2': '10.00', 'bookmaker_name': 'Roobet', 'period': 'FullTime'}, {'1': '1.26', 'X': '5.13', '2': '9.88', 'bookmaker_name': 'Shuffle', 'period': 'FullTime'}, {'1': '1.35', 'X': '5.25', '2': '8.50', 'bookmaker_name': 'Sports Interaction', 'period': 'FullTime'}, {'1': '1.34', 'X': '5.00', '2': '9.00', 'bookmaker_name': 'Stake.com', 'period': 'FullTime'}]",2026-07-02 15:00:00+00:00
2026-07-07 01:38:51 UTC,2026-06-15 15:00:00 UTC,"https://www.oddsportal.com/football/h2h/belgium-GbB957na/egypt-bejDn7NN/#dG7zgzd5",Belgium,Egypt,World Championship 2026,1.0,1.0,"(0:1, 1:0)",Lumen Field,"Seattle, WA",USA,"[{'1': '1.54', 'X': '4.31', '2': '6.67', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.44', 'X': '4.00', '2': '6.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.50', 'X': '4.20', '2': '6.50', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.51', 'X': '4.10', '2': '6.60', 'bookmaker_name': 'Betfury', 'period': 'FullTime'}, {'1': '1.49', 'X': '4.20', '2': '7.00', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'1': '1.50', 'X': '4.20', '2': '6.00', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '1.50', 'X': '4.30', '2': '7.35', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'1': '1.51', 'X': '4.22', '2': '6.50', 'bookmaker_name': 'Melbet', 'period': 'FullTime'}, {'1': '1.57', 'X': '4.20', '2': '6.90', 'bookmaker_name': 'Mozzartbet', 'period': 'FullTime'}, {'1': '1.49', 'X': '4.20', '2': '7.00', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}, {'1': '1.50', 'X': '4.20', '2': '6.80', 'bookmaker_name': 'Roobet', 'period': 'FullTime'}, {'1': '1.48', 'X': '4.03', '2': '6.18', 'bookmaker_name': 'Shuffle', 'period': 'FullTime'}, {'1': '1.53', 'X': '4.20', '2': '6.00', 'bookmaker_name': 'Sports Interaction', 'period': 'FullTime'}, {'1': '1.53', 'X': '4.20', '2': '6.20', 'bookmaker_name': 'Stake.com', 'period': 'FullTime'}]",2026-06-15 15:00:00+00:00
2026-07-07 01:40:14 UTC,2026-06-16 15:00:00 UTC,"https://www.oddsportal.com/football/h2h/france-QkGeVG1n/senegal-hOIsJLJr/#ALxYcMw2",France,Senegal,World Championship 2026,3.0,1.0,"(0:0, 3:1)",MetLife Stadium,"East Rutherford, NJ",USA,"[{'1': '1.51', 'X': '4.59', '2': '6.63', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.44', 'X': '4.20', '2': '6.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.48', 'X': '4.50', '2': '6.50', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.48', 'X': '4.20', '2': '7.20', 'bookmaker_name': 'Betfury', 'period': 'FullTime'}, {'1': '1.47', 'X': '4.33', '2': '7.00', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'1': '1.45', 'X': '4.33', '2': '6.50', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '1.50', 'X': '4.45', '2': '7.15', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'1': '1.48', 'X': '4.48', '2': '6.45', 'bookmaker_name': 'Melbet', 'period': 'FullTime'}, {'1': '1.53', 'X': '4.30', '2': '7.50', 'bookmaker_name': 'Mozzartbet', 'period': 'FullTime'}, {'1': '1.47', 'X': '4.33', '2': '7.00', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}, {'1': '1.47', 'X': '4.30', '2': '7.20', 'bookmaker_name': 'Roobet', 'period': 'FullTime'}, {'1': '1.42', 'X': '4.29', '2': '6.63', 'bookmaker_name': 'Shuffle', 'period': 'FullTime'}, {'1': '1.51', 'X': '4.50', '2': '5.75', 'bookmaker_name': 'Sports Interaction', 'period': 'FullTime'}, {'1': '1.51', 'X': '4.50', '2': '6.00', 'bookmaker_name': 'Stake.com', 'period': 'FullTime'}]",2026-06-16 15:00:00+00:00
2026-07-07 01:41:15 UTC,2026-06-14 19:00:00 UTC,"https://www.oddsportal.com/football/h2h/ecuador-8tbm8Tri/ivory-coast-G2FRjBgn/#h8pzQySI",Ivory Coast,Ecuador,World Championship 2026,1.0,0.0,"(0:0, 1:0)",Lincoln Financial Field,"Philadelphia, PA",USA,"[{'1': '3.16', 'X': '2.98', '2': '2.64', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '3.00', 'X': '2.90', '2': '2.40', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '3.25', 'X': '2.90', '2': '2.45', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '3.20', 'X': '2.88', '2': '2.54', 'bookmaker_name': 'Betfury', 'period': 'FullTime'}, {'1': '3.26', 'X': '2.93', '2': '2.48', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'1': '3.20', 'X': '2.90', '2': '2.40', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '3.50', 'X': '2.90', '2': '2.45', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'1': '3.26', 'X': '2.93', '2': '2.47', 'bookmaker_name': 'Melbet', 'period': 'FullTime'}, {'1': '3.25', 'X': '2.90', '2': '2.70', 'bookmaker_name': 'Mozzartbet', 'period': 'FullTime'}, {'1': '3.21', 'X': '2.92', '2': '2.52', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}, {'1': '3.25', 'X': '2.90', '2': '2.50', 'bookmaker_name': 'Roobet', 'period': 'FullTime'}, {'1': '3.17', 'X': '2.81', '2': '2.40', 'bookmaker_name': 'Shuffle', 'period': 'FullTime'}, {'1': '3.25', 'X': '2.90', '2': '2.45', 'bookmaker_name': 'Sports Interaction', 'period': 'FullTime'}, {'1': '3.40', 'X': '2.90', '2': '2.46', 'bookmaker_name': 'Stake.com', 'period': 'FullTime'}]",2026-06-14 19:00:00+00:00
2026-07-07 01:41:34 UTC,2026-06-12 15:00:00 UTC,"https://www.oddsportal.com/football/h2h/bosnia-herzegovina-fqe7WYTr/canada-x4toKORL/#OxkQ8qT6",Canada,Bosnia & Herzegovina,World Championship 2026,1.0,1.0,"(0:1, 1:0)",BMO Field,"Toronto, ON",Canada,"[{'1': '1.80', 'X': '3.57', '2': '5.15', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.80', 'X': '3.25', '2': '4.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.80', 'X': '3.50', '2': '4.75', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.82', 'X': '3.50', '2': '4.60', 'bookmaker_name': 'Betfury', 'period': 'FullTime'}, {'1': '1.84', 'X': '3.50', '2': '4.50', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'1': '1.80', 'X': '3.50', '2': '4.50', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '1.85', 'X': '3.55', '2': '4.60', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'1': '1.76', 'X': '3.48', '2': '5.00', 'bookmaker_name': 'Melbet', 'period': 'FullTime'}, {'1': '1.95', 'X': '3.55', '2': '4.45', 'bookmaker_name': 'Mozzartbet', 'period': 'FullTime'}, {'1': '1.84', 'X': '3.50', '2': '4.50', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}, {'1': '1.82', 'X': '3.50', '2': '4.60', 'bookmaker_name': 'Roobet', 'period': 'FullTime'}, {'1': '1.77', 'X': '3.35', '2': '4.49', 'bookmaker_name': 'Shuffle', 'period': 'FullTime'}, {'1': '1.85', 'X': '3.40', '2': '4.50', 'bookmaker_name': 'Sports Interaction', 'period': 'FullTime'}, {'1': '1.85', 'X': '3.45', '2': '4.50', 'bookmaker_name': 'Stake.com', 'period': 'FullTime'}]",2026-06-12 15:00:00+00:00
2026-07-07 01:42:54 UTC,2026-06-23 16:00:00 UTC,"https://www.oddsportal.com/football/h2h/england-j9N9ZNFA/ghana-nNBjHale/#KhgvzGjJ",England,Ghana,World Championship 2026,0.0,0.0,"(0:0, 0:0)",Gillette Stadium,"Foxborough, MA",USA,"[{'1': '1.20', 'X': '7.61', '2': '15.20', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.17', 'X': '6.50', '2': '15.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.18', 'X': '7.50', '2': '15.00', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.17', 'X': '7.40', '2': '16.00', 'bookmaker_name': 'Betfury', 'period': 'FullTime'}, {'1': '1.17', 'X': '7.20', '2': '17.00', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'1': '1.17', 'X': '7.50', '2': '15.00', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '1.18', 'X': '7.65', '2': '18.00', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'1': '1.18', 'X': '7.40', '2': '14.50', 'bookmaker_name': 'Melbet', 'period': 'FullTime'}, {'1': '1.23', 'X': '6.75', '2': '16.00', 'bookmaker_name': 'Mozzartbet', 'period': 'FullTime'}, {'1': '1.17', 'X': '7.20', '2': '17.00', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}, {'1': '1.17', 'X': '7.40', '2': '16.00', 'bookmaker_name': 'Roobet', 'period': 'FullTime'}, {'1': '1.14', 'X': '6.92', '2': '15.43', 'bookmaker_name': 'Shuffle', 'period': 'FullTime'}, {'1': '1.19', 'X': '7.25', '2': '14.00', 'bookmaker_name': 'Sports Interaction', 'period': 'FullTime'}, {'1': '1.17', 'X': '7.00', '2': '16.00', 'bookmaker_name': 'Stake.com', 'period': 'FullTime'}]",2026-06-23 16:00:00+00:00
