scraped_date,match_date,match_link,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2026-07-06 22:09:29 UTC,2023-10-17 08:15:00 UTC,"https://www.oddsportal.com/football/h2h/brunei-nV3KmQsA/indonesia-88ErHiT9/#xlhlbG5b",Brunei,Indonesia,World Championship 2026,0,6,"(0:3, 0:3)",Sultan Hassanal Bolkiah Stadium,B. S. Begawan,Brunei,"[{'1': '33.00', 'X': '19.50', '2': '1.01', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '23.00', 'X': '13.00', '2': '-', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '41.00', 'X': '23.00', '2': '1.02', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '67.00', 'X': '15.00', '2': '1.02', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '53.30', 'X': '16.53', '2': '1.01', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}]"
2026-07-06 22:09:29 UTC,2025-10-13 14:45:00 UTC,"https://www.oddsportal.com/football/h2h/belgium-GbB957na/wales-YcUP0Nqp/#joqeU0lI",Wales,Belgium,World Championship 2026,2,4,"(1:2, 1:2)",Cardiff City Stadium,Cardiff,Wales,"[{'1': '5.13', 'X': '3.80', '2': '1.74', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '5.00', 'X': '3.70', '2': '1.70', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '5.00', 'X': '3.75', '2': '1.70', 'bookmaker_name': 'Betfury', 'period': 'FullTime'}, {'1': '5.00', 'X': '3.75', '2': '1.71', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'1': '4.75', 'X': '3.50', '2': '1.65', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '5.20', 'X': '3.92', '2': '1.69', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'1': '5.30', 'X': '3.60', '2': '1.70', 'bookmaker_name': 'Mozzartbet', 'period': 'FullTime'}, {'1': '5.20', 'X': '3.79', '2': '1.69', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}, {'1': '4.90', 'X': '3.80', '2': '1.71', 'bookmaker_name': 'Roobet', 'period': 'FullTime'}, {'1': '4.80', 'X': '3.75', '2': '1.72', 'bookmaker_name': 'Sports Interaction', 'period': 'FullTime'}, {'1': '5.00', 'X': '3.75', '2': '1.69', 'bookmaker_name': 'Stake.com', 'period': 'FullTime'}]"
2026-07-06 22:09:29 UTC,2023-11-21 11:00:00 UTC,"https://www.oddsportal.com/football/h2h/cameroon-zk1uVG2D/libya-zm8nIuZl/#rciTiAK0",Libya,Cameroon,World Championship 2026,1,1,"(1:1, 0:0)",Stade Ahmadou Ahidjo,Yaound,Cameroon,"[{'1': '6.21', 'X': '3.84', '2': '1.57', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '6.00', 'X': '3.60', '2': '1.62', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '5.50', 'X': '3.40', '2': '1.70', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '5.50', 'X': '3.60', '2': '1.62', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '5.05', 'X': '3.42', '2': '1.64', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}]"
2026-07-06 22:09:46 UTC,2026-06-27 17:00:00 UTC,"https://www.oddsportal.com/football/h2h/croatia-K8aznggo/ghana-nNBjHale/#6mbbuBSb",Croatia,Ghana,World Championship 2026,2,1,"(1:0, 1:1)",Lincoln Financial Field,"Philadelphia, PA",USA,"[{'1': '1.86', 'X': '3.17', '2': '5.59', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.75', 'X': '3.10', '2': '4.80', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.80', 'X': '3.10', '2': '5.75', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.78', 'X': '3.20', '2': '5.60', 'bookmaker_name': 'Betfury', 'period': 'FullTime'}, {'1': '1.78', 'X': '3.21', '2': '5.70', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'1': '1.78', 'X': '3.20', '2': '5.25', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '1.81', 'X': '3.20', '2': '5.65', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'1': '1.83', 'X': '3.10', '2': '5.45', 'bookmaker_name': 'Melbet', 'period': 'FullTime'}, {'1': '1.90', 'X': '3.25', '2': '5.20', 'bookmaker_name': 'Mozzartbet', 'period': 'FullTime'}, {'1': '1.78', 'X': '3.23', '2': '5.60', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}, {'1': '1.78', 'X': '3.20', '2': '5.60', 'bookmaker_name': 'Roobet', 'period': 'FullTime'}, {'1': '1.74', 'X': '3.09', '2': '5.26', 'bookmaker_name': 'Shuffle', 'period': 'FullTime'}, {'1': '1.80', 'X': '3.10', '2': '5.50', 'bookmaker_name': 'Sports Interaction', 'period': 'FullTime'}, {'1': '1.80', 'X': '3.15', '2': '5.20', 'bookmaker_name': 'Stake.com', 'period': 'FullTime'}]"
2026-07-06 22:09:47 UTC,2025-11-18 20:00:00 UTC,"https://www.oddsportal.com/football/h2h/bermuda-EDkSyUht/trinidad-tobago-UTg8M6Sd/#SAIO3Lvg",Trinidad & Tobago,Bermuda,World Championship 2026,2,2,"(1:0, 1:2)",Hasely Crawford Stadium,Port of Spain,Trinidad and Tobago,"[{'1': '1.09', 'X': '14.90', '2': '21.00', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.08', 'X': '9.00', '2': '26.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.08', 'X': '12.00', '2': '17.00', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.09', 'X': '10.00', '2': '20.00', 'bookmaker_name': 'Betfury', 'period': 'FullTime'}, {'1': '1.08', 'X': '10.00', '2': '24.00', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'1': '1.08', 'X': '10.00', '2': '21.00', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '1.08', 'X': '9.19', '2': '20.10', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'1': '1.08', 'X': '10.50', '2': '17.00', 'bookmaker_name': 'Mozzartbet', 'period': 'FullTime'}, {'1': '1.06', 'X': '9.20', '2': '19.00', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}, {'1': '1.09', 'X': '10.00', '2': '20.00', 'bookmaker_name': 'Roobet', 'period': 'FullTime'}, {'1': '1.08', 'X': '11.50', '2': '26.00', 'bookmaker_name': 'Sports Interaction', 'period': 'FullTime'}, {'1': '1.06', 'X': '9.00', '2': '20.00', 'bookmaker_name': 'Stake.com', 'period': 'FullTime'}]"
2026-07-06 22:09:47 UTC,2025-06-10 14:45:00 UTC,"https://www.oddsportal.com/football/h2h/austria-naHiWdnt/san-marino-Wlrb53yT/#4UKDHN4C",San Marino,Austria,World Championship 2026,0,4,"(0:4, 0:0)",Ernst Happel Stadion,Vienna,Austria,"[{'1': '77.00', 'X': '23.00', '2': '1.02', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '81.00', 'X': '23.00', '2': '1.01', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '20.00', 'X': '19.00', '2': '1.02', 'bookmaker_name': 'Betfury', 'period': 'FullTime'}, {'1': '101.00', 'X': '21.00', '2': '1.01', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'1': '34.00', 'X': '15.00', '2': '1.01', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '80.80', 'X': '33.42', '2': '1.01', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'1': '50.00', 'X': '20.00', '2': '1.01', 'bookmaker_name': 'Mozzartbet', 'period': 'FullTime'}, {'1': '20.00', 'X': '19.00', '2': '1.02', 'bookmaker_name': 'Roobet', 'period': 'FullTime'}, {'1': '70.00', 'X': '14.75', '2': '1.01', 'bookmaker_name': 'Stake.com', 'period': 'FullTime'}]"
2026-07-06 22:10:06 UTC,2025-03-20 14:15:00 UTC,"https://www.oddsportal.com/football/h2h/jordan-vNcmJoU2/palestine-raIKZdDJ/#d4mfDDpI",Jordan,Palestine,World Championship 2026,3,1,"(3:1, 0:0)",Amman International Stadium,Amman,Jordan,"[{'1': '1.60', 'X': '3.50', '2': '6.77', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.57', 'X': '3.50', '2': '5.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.62', 'X': '3.50', '2': '6.50', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.65', 'X': '3.50', '2': '6.10', 'bookmaker_name': 'Betfury', 'period': 'FullTime'}, {'1': '1.63', 'X': '3.55', '2': '5.60', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'1': '1.62', 'X': '3.60', '2': '5.75', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '1.62', 'X': '3.69', '2': '6.36', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'1': '1.63', 'X': '3.60', '2': '6.25', 'bookmaker_name': 'Mozzartbet', 'period': 'FullTime'}]"
2026-07-06 22:10:08 UTC,2025-09-05 14:45:00 UTC,"https://www.oddsportal.com/football/h2h/kosovo-v1DTPQwI/switzerland-rHJ2vy1B/#zPwpI5Jj",Switzerland,Kosovo,World Championship 2026,4,0,"(4:0, 0:0)",Stadiumi Fadil Vokrri,Pristina,Kosovo,"[{'1': '1.44', 'X': '4.82', '2': '7.11', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.42', 'X': '4.75', '2': '7.00', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.42', 'X': '4.60', '2': '7.40', 'bookmaker_name': 'Betfury', 'period': 'FullTime'}, {'1': '1.42', 'X': '4.80', '2': '7.40', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'1': '1.38', 'X': '4.33', '2': '7.00', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '1.43', 'X': '4.71', '2': '7.86', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'1': '1.40', 'X': '4.70', '2': '8.00', 'bookmaker_name': 'Mozzartbet', 'period': 'FullTime'}, {'1': '1.39', 'X': '4.30', '2': '6.80', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}, {'1': '1.42', 'X': '4.70', '2': '7.40', 'bookmaker_name': 'Roobet', 'period': 'FullTime'}, {'1': '1.43', 'X': '4.70', '2': '6.80', 'bookmaker_name': 'Stake.com', 'period': 'FullTime'}]"
2026-07-06 22:10:07 UTC,2025-09-09 09:00:00 UTC,"https://www.oddsportal.com/football/h2h/niger-Eevd7UNo/tanzania-KzAbFwJ7/#O6D8xYFk",Tanzania,Niger,World Championship 2026,0,1,"(0:0, 0:1)",Amaan Stadium,Zanzibar City,Zanzibar,"[{'1': '1.68', 'X': '3.26', '2': '6.60', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.70', 'X': '3.25', '2': '6.25', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.71', 'X': '3.20', '2': '5.20', 'bookmaker_name': 'Betfury', 'period': 'FullTime'}, {'1': '1.70', 'X': '3.15', '2': '5.20', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'1': '1.70', 'X': '3.40', '2': '5.25', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '1.73', 'X': '3.25', '2': '5.53', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'1': '1.72', 'X': '3.50', '2': '5.40', 'bookmaker_name': 'Mozzartbet', 'period': 'FullTime'}, {'1': '1.70', 'X': '3.16', '2': '5.10', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}, {'1': '1.70', 'X': '3.15', '2': '5.40', 'bookmaker_name': 'Roobet', 'period': 'FullTime'}, {'1': '1.73', 'X': '3.25', '2': '5.20', 'bookmaker_name': 'Stake.com', 'period': 'FullTime'}]"
2026-07-06 22:10:26 UTC,2023-11-16 15:00:00 UTC,"https://www.oddsportal.com/football/h2h/bolivia-nXdi7mbc/peru-Uend67D3/#KONFPFHU",Bolivia,Peru,World Championship 2026,2,0,"(1:0, 1:0)",,,,"[{'1': '2.23', 'X': '3.14', '2': '3.63', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '2.25', 'X': '3.00', '2': '3.40', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.25', 'X': '3.10', '2': '3.75', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '2.20', 'X': '3.00', '2': '3.50', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '2.17', 'X': '2.86', '2': '3.44', 'bookmaker_name': 'N1 Bet', 'period': 'FullTime'}]"
2026-07-06 22:10:27 UTC,2025-06-07 14:45:00 UTC,"https://www.oddsportal.com/football/h2h/austria-naHiWdnt/romania-IaD8jZpU/#bkaF8SLs",Austria,Romania,World Championship 2026,2,1,"(1:0, 1:1)",Arena Nationala,Bucharest,Romania,"[{'1': '1.37', 'X': '5.36', '2': '8.74', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'1': '1.33', 'X': '5.25', '2': '9.00', 'bookmaker_name': 'bet365', 'period': 'FullTime'}, {'1': '1.35', 'X': '5.00', '2': '9.20', 'bookmaker_name': 'Betfury', 'period': 'FullTime'}, {'1': '1.35', 'X': '5.20', '2': '8.40', 'bookmaker_name': 'Bets.io', 'period': 'FullTime'}, {'1': '1.30', 'X': '5.00', '2': '7.50', 'bookmaker_name': 'Betway', 'period': 'FullTime'}, {'1': '1.33', 'X': '5.29', '2': '9.12', 'bookmaker_name': 'Cloudbet', 'period': 'FullTime'}, {'1': '1.40', 'X': '5.00', '2': '9.00', 'bookmaker_name': 'Mozzartbet', 'period': 'FullTime'}, {'1': '1.35', 'X': '5.00', '2': '9.20', 'bookmaker_name': 'Roobet', 'period': 'FullTime'}, {'1': '1.34', 'X': '5.20', '2': '8.00', 'bookmaker_name': 'Stake.com', 'period': 'FullTime'}]"
