match,kickoff,outcome,action,model,implied,diff,hit,pnl,g_A,g_B
Belgium vs Senegal,2026-07-01,home,BUY,0.4887,0.24,0.2487,False,-0.24,3,2
Belgium vs Senegal,2026-07-01,draw,SELL,0.2572,0.31,-0.0528,True,-0.69,3,2
Belgium vs Senegal,2026-07-01,away,SELL,0.2541,0.46,-0.2059,False,0.46,3,2
England vs Congo DR,2026-07-01,home,BUY,0.6413,0.41,0.2313,True,0.59,2,1
England vs Congo DR,2026-07-01,draw,SELL,0.2268,0.32,-0.0932,False,0.32,2,1
England vs Congo DR,2026-07-01,away,SELL,0.1319,0.28,-0.1481,False,0.28,2,1
USA vs Bosnia and Herzegovina,2026-07-02,home,SELL,0.4874,0.87,-0.3826,True,-0.13,2,0
USA vs Bosnia and Herzegovina,2026-07-02,draw,BUY,0.2646,0.11,0.1546,False,-0.11,2,0
USA vs Bosnia and Herzegovina,2026-07-02,away,BUY,0.248,0.03,0.218,False,-0.03,2,0
Korea Republic vs Czechia,2026-06-12,draw,SELL,0.2942,0.44,-0.1458,False,0.44,2,1
Korea Republic vs Czechia,2026-06-12,away,BUY,0.3605,0.24,0.1205,False,-0.24,2,1
Mexico vs South Africa,2026-06-11,home,SELL,0.6035,0.7,-0.0965,True,-0.3,2,0
Mexico vs South Africa,2026-06-11,draw,BUY,0.2389,0.21,0.0289,False,-0.21,2,0
Mexico vs South Africa,2026-06-11,away,BUY,0.1577,0.11,0.0477,False,-0.11,2,0
Canada vs Bosnia and Herzegovina,2026-06-12,home,BUY,0.4363,0.24,0.1963,False,-0.24,1,1
Canada vs Bosnia and Herzegovina,2026-06-12,draw,SELL,0.2918,0.32,-0.0282,True,-0.68,1,1
Canada vs Bosnia and Herzegovina,2026-06-12,away,SELL,0.2719,0.44,-0.1681,False,0.44,1,1
USA vs Paraguay,2026-06-13,home,SELL,0.4287,0.48,-0.0513,True,-0.52,4,1
USA vs Paraguay,2026-06-13,draw,SELL,0.2796,0.3,-0.0204,False,0.3,4,1
USA vs Paraguay,2026-06-13,away,BUY,0.2917,0.24,0.0517,False,-0.24,4,1
Brazil vs Morocco,2026-06-13,home,SELL,0.4269,0.6,-0.1731,False,0.6,1,1
Brazil vs Morocco,2026-06-13,away,BUY,0.3015,0.18,0.1215,False,-0.18,1,1
Haiti vs Scotland,2026-06-14,home,BUY,0.2093,0.16,0.0493,False,-0.16,0,1
Haiti vs Scotland,2026-06-14,draw,BUY,0.2592,0.22,0.0392,False,-0.22,0,1
Haiti vs Scotland,2026-06-14,away,SELL,0.5315,0.64,-0.1085,True,-0.36,0,1
Qatar vs Switzerland,2026-06-13,home,BUY,0.1454,0.06,0.0854,False,-0.06,1,1
Qatar vs Switzerland,2026-06-13,draw,BUY,0.2232,0.14,0.0832,True,0.86,1,1
Qatar vs Switzerland,2026-06-13,away,SELL,0.6313,0.81,-0.1787,False,0.81,1,1
Australia vs Turkiye,2026-06-14,home,SELL,0.242,0.46,-0.218,True,-0.54,2,0
Australia vs Turkiye,2026-06-14,draw,SELL,0.2705,0.32,-0.0495,False,0.32,2,0
Australia vs Turkiye,2026-06-14,away,BUY,0.4875,0.22,0.2675,False,-0.22,2,0
Ivory Coast vs Ecuador,2026-06-15,home,BUY,0.3914,0.29,0.1014,True,0.71,1,0
Ivory Coast vs Ecuador,2026-06-15,draw,SELL,0.2939,0.34,-0.0461,False,0.34,1,0
Ivory Coast vs Ecuador,2026-06-15,away,SELL,0.3147,0.39,-0.0753,False,0.39,1,0
Germany vs Curacao,2026-06-14,home,SELL,0.8133,0.94,-0.1267,True,-0.06,7,1
Germany vs Curacao,2026-06-14,draw,BUY,0.1365,0.05,0.0865,False,-0.05,7,1
Germany vs Curacao,2026-06-14,away,BUY,0.0502,0.03,0.0202,False,-0.03,7,1
Sweden vs Tunisia,2026-06-15,home,SELL,0.4706,0.76,-0.2894,True,-0.24,5,1
Sweden vs Tunisia,2026-06-15,draw,BUY,0.2646,0.2,0.0646,False,-0.2,5,1
Sweden vs Tunisia,2026-06-15,away,BUY,0.2648,0.06,0.2048,False,-0.06,5,1
Belgium vs Egypt,2026-06-15,home,SELL,0.5661,0.63,-0.0639,False,0.63,1,1
Belgium vs Egypt,2026-06-15,away,BUY,0.1829,0.16,0.0229,False,-0.16,1,1
Spain vs Cape Verde,2026-06-15,home,SELL,0.8372,0.93,-0.0928,False,0.93,0,0
Spain vs Cape Verde,2026-06-15,draw,BUY,0.117,0.06,0.057,True,0.94,0,0
IR Iran vs New Zealand,2026-06-16,away,SELL,0.169,0.2,-0.031,False,0.2,2,2
Saudi Arabia vs Uruguay,2026-06-15,home,BUY,0.1668,0.12,0.0468,False,-0.12,0,1
Saudi Arabia vs Uruguay,2026-06-15,draw,BUY,0.2376,0.21,0.0276,True,0.79,0,1
Saudi Arabia vs Uruguay,2026-06-15,away,SELL,0.5956,0.68,-0.0844,False,0.68,0,1
Argentina vs Algeria,2026-06-17,home,SELL,0.5332,0.65,-0.1168,True,-0.35,3,0
Argentina vs Algeria,2026-06-17,draw,BUY,0.2592,0.22,0.0392,False,-0.22,3,0
Argentina vs Algeria,2026-06-17,away,BUY,0.2076,0.12,0.0876,False,-0.12,3,0
France vs Senegal,2026-06-16,home,SELL,0.5822,0.67,-0.0878,True,-0.33,3,1
France vs Senegal,2026-06-16,away,BUY,0.1857,0.13,0.0557,False,-0.13,3,1
Iraq vs Norway,2026-06-17,home,BUY,0.1638,0.03,0.1338,False,-0.03,1,4
Iraq vs Norway,2026-06-17,draw,BUY,0.2468,0.11,0.1368,False,-0.11,1,4
Iraq vs Norway,2026-06-17,away,SELL,0.5894,0.87,-0.2806,True,-0.13,1,4
Austria vs Jordan,2026-06-17,home,SELL,0.4625,0.7,-0.2375,True,-0.3,3,1
Austria vs Jordan,2026-06-17,draw,BUY,0.2694,0.2,0.0694,False,-0.2,3,1
Austria vs Jordan,2026-06-17,away,BUY,0.2681,0.11,0.1581,False,-0.11,3,1
England vs Croatia,2026-06-17,home,SELL,0.5264,0.58,-0.0536,True,-0.42,4,2
England vs Croatia,2026-06-17,away,BUY,0.2232,0.19,0.0332,False,-0.19,4,2
Ghana vs Panama,2026-06-18,home,BUY,0.467,0.41,0.057,True,0.59,1,0
Ghana vs Panama,2026-06-18,draw,SELL,0.262,0.31,-0.048,False,0.31,1,0
