match,kickoff,strong_team,weak_team,strong_impl,model_strong,line,implied,hit,pnl,g_strong,g_weak,total_goals,is_asymmetric
USA vs Bosnia and Herzegovina,2026-07-02,USA,Bosnia and Herzegovina,0.87,0.493,2.5,0.27,False,-0.27,2,0,2,False
USA vs Bosnia and Herzegovina,2026-07-02,USA,Bosnia and Herzegovina,0.87,0.493,3.5,0.03,False,-0.03,2,0,2,False
USA vs Bosnia and Herzegovina,2026-07-02,USA,Bosnia and Herzegovina,0.87,0.493,4.5,0.01,False,-0.01,2,0,2,False
USA vs Bosnia and Herzegovina,2026-07-02,USA,Bosnia and Herzegovina,0.87,0.493,5.5,0.01,False,-0.01,2,0,2,False
Mexico vs South Africa,2026-06-11,Mexico,South Africa,0.7,0.648,2.5,0.2,False,-0.2,2,0,2,False
Mexico vs South Africa,2026-06-11,Mexico,South Africa,0.7,0.648,3.5,0.02,False,-0.02,2,0,2,False
Mexico vs South Africa,2026-06-11,Mexico,South Africa,0.7,0.648,4.5,0.01,False,-0.01,2,0,2,False
Mexico vs South Africa,2026-06-11,Mexico,South Africa,0.7,0.648,5.5,0.01,False,-0.01,2,0,2,False
Qatar vs Switzerland,2026-06-13,Switzerland,Qatar,0.81,0.616,2.5,0.01,False,-0.01,1,1,2,False
Qatar vs Switzerland,2026-06-13,Switzerland,Qatar,0.81,0.616,3.5,0.01,False,-0.01,1,1,2,False
Qatar vs Switzerland,2026-06-13,Switzerland,Qatar,0.81,0.616,4.5,0.01,False,-0.01,1,1,2,False
Qatar vs Switzerland,2026-06-13,Switzerland,Qatar,0.81,0.616,5.5,0.01,False,-0.01,1,1,2,False
Germany vs Curacao,2026-06-14,Germany,Curacao,0.94,0.895,2.5,0.99,True,0.01,7,1,8,True
Germany vs Curacao,2026-06-14,Germany,Curacao,0.94,0.895,3.5,0.99,True,0.01,7,1,8,True
Germany vs Curacao,2026-06-14,Germany,Curacao,0.94,0.895,4.5,0.99,True,0.01,7,1,8,True
Germany vs Curacao,2026-06-14,Germany,Curacao,0.94,0.895,5.5,0.99,True,0.01,7,1,8,True
Germany vs Curacao,2026-06-14,Germany,Curacao,0.94,0.895,6.5,0.99,True,0.01,7,1,8,True
Sweden vs Tunisia,2026-06-15,Sweden,Tunisia,0.76,0.5,2.5,0.99,True,0.01,5,1,6,True
Sweden vs Tunisia,2026-06-15,Sweden,Tunisia,0.76,0.5,3.5,0.99,True,0.01,5,1,6,True
Sweden vs Tunisia,2026-06-15,Sweden,Tunisia,0.76,0.5,4.5,0.99,True,0.01,5,1,6,True
Sweden vs Tunisia,2026-06-15,Sweden,Tunisia,0.76,0.5,5.5,0.99,True,0.01,5,1,6,True
Sweden vs Tunisia,2026-06-15,Sweden,Tunisia,0.76,0.5,6.5,0.01,False,-0.01,5,1,6,True
