match,kickoff,outcome,action,model,implied,diff,hit,pnl,g_A,g_B
Belgium vs Senegal,2026-07-01,home,BUY,0.495,0.24,0.255,False,-0.24,3,2
Belgium vs Senegal,2026-07-01,draw,SELL,0.2573,0.31,-0.0527,True,-0.69,3,2
Belgium vs Senegal,2026-07-01,away,SELL,0.2477,0.46,-0.2123,False,0.46,3,2
England vs Congo DR,2026-07-01,home,BUY,0.6485,0.41,0.2385,True,0.59,2,1
England vs Congo DR,2026-07-01,draw,SELL,0.2237,0.32,-0.0963,False,0.32,2,1
England vs Congo DR,2026-07-01,away,SELL,0.1278,0.28,-0.1522,False,0.28,2,1
USA vs Bosnia and Herzegovina,2026-07-02,home,SELL,0.493,0.87,-0.377,True,-0.13,2,0
USA vs Bosnia and Herzegovina,2026-07-02,draw,BUY,0.2708,0.11,0.1608,False,-0.11,2,0
USA vs Bosnia and Herzegovina,2026-07-02,away,BUY,0.2362,0.03,0.2062,False,-0.03,2,0
Korea Republic vs Czechia,2026-06-12,draw,SELL,0.299,0.44,-0.141,False,0.44,2,1
Korea Republic vs Czechia,2026-06-12,away,BUY,0.3464,0.24,0.1064,False,-0.24,2,1
Mexico vs South Africa,2026-06-11,home,SELL,0.6477,0.7,-0.0523,True,-0.3,2,0
Mexico vs South Africa,2026-06-11,away,BUY,0.1345,0.11,0.0245,False,-0.11,2,0
Canada vs Bosnia and Herzegovina,2026-06-12,home,BUY,0.4436,0.24,0.2036,False,-0.24,1,1
Canada vs Bosnia and Herzegovina,2026-06-12,draw,SELL,0.2924,0.32,-0.0276,True,-0.68,1,1
Canada vs Bosnia and Herzegovina,2026-06-12,away,SELL,0.264,0.44,-0.176,False,0.44,1,1
USA vs Paraguay,2026-06-13,home,SELL,0.4547,0.48,-0.0253,True,-0.52,4,1
USA vs Paraguay,2026-06-13,away,BUY,0.264,0.24,0.024,False,-0.24,4,1
Brazil vs Morocco,2026-06-13,home,SELL,0.4171,0.6,-0.1829,False,0.6,1,1
Brazil vs Morocco,2026-06-13,away,BUY,0.305,0.18,0.125,False,-0.18,1,1
Haiti vs Scotland,2026-06-14,home,BUY,0.1946,0.16,0.0346,False,-0.16,0,1
Haiti vs Scotland,2026-06-14,draw,BUY,0.2513,0.22,0.0313,False,-0.22,0,1
Haiti vs Scotland,2026-06-14,away,SELL,0.5541,0.64,-0.0859,True,-0.36,0,1
Qatar vs Switzerland,2026-06-13,home,BUY,0.1514,0.06,0.0914,False,-0.06,1,1
Qatar vs Switzerland,2026-06-13,draw,BUY,0.2331,0.14,0.0931,True,0.86,1,1
