date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_elo,away_elo,home_scored_last10,home_conceded_last10,away_scored_last10,away_conceded_last10
2014-10-10,Belgium,Andorra,6.0,0.0,UEFA Euro qualification,Brussels,Belgium,False,1852.728835150906,196.63448141615558,18.0,6.0,2.0,24.0
2014-10-10,Lesotho,Angola,0.0,0.0,African Cup of Nations qualification,Maseru,Lesotho,False,843.1838351159402,1415.7041824471762,7.0,8.0,12.0,11.0
2014-10-10,Bulgaria,Croatia,0.0,1.0,UEFA Euro qualification,Sofia,Bulgaria,False,1476.5274403531207,1965.2864077848508,12.0,11.0,17.0,9.0
2014-10-10,China,Thailand,3.0,0.0,Friendly,Wuhan,China,False,1712.6359251786432,1465.9114505241444,12.0,9.0,14.0,24.0
2014-10-10,Cyprus,Israel,1.0,2.0,UEFA Euro qualification,Nicosia,Cyprus,False,937.396275928493,1422.777359921524,2.0,11.0,16.0,16.0
2014-10-10,Italy,Azerbaijan,2.0,1.0,UEFA Euro qualification,Palermo,Italy,False,2005.6709831143662,954.4109047638038,10.0,8.0,10.0,10.0
2014-10-10,Hong Kong,Singapore,2.0,1.0,Friendly,Kowloon,Hong Kong,False,1067.0603546416778,1221.9472956282484,4.0,17.0,9.0,19.0
2014-10-10,Jordan,Kuwait,0.0,1.0,Friendly,Amman,Jordan,False,1604.007403929428,1568.4826224705805,11.0,10.0,12.0,17.0
2014-10-10,South Korea,Paraguay,2.0,0.0,Friendly,Cheonan,South Korea,False,1794.5313737062847,1612.7209082267937,8.0,19.0,16.0,19.0
2014-10-10,French Guiana,Saint Kitts and Nevis,1.0,2.0,CFU Caribbean Cup qualification,Port-au-Prince,Haiti,True,1250.6256965966943,1213.4987709038198,19.0,6.0,14.0,14.0
2014-10-10,Latvia,Iceland,0.0,3.0,UEFA Euro qualification,Riga,Latvia,False,979.1109278656775,1127.6909067966862,8.0,11.0,11.0,10.0
2014-10-10,Botswana,Egypt,0.0,2.0,African Cup of Nations qualification,Gaborone,Botswana,False,1352.3239081993108,1965.9007574601717,11.0,5.0,16.0,14.0
2014-10-10,Japan,Jamaica,1.0,0.0,Friendly,Niigata,Japan,False,1979.5846966961112,1420.1029586170423,19.0,18.0,11.0,21.0
2014-10-10,Yemen,Iraq,1.0,1.0,Friendly,Manama,Bahrain,True,827.5987643623497,1556.886123461912,7.0,21.0,12.0,10.0
2014-10-10,Turkey,Czech Republic,1.0,2.0,UEFA Euro qualification,Istanbul,Turkey,False,1702.2404068003725,1723.3975152328997,18.0,12.0,16.0,13.0
2014-10-10,Oman,Costa Rica,3.0,4.0,Friendly,Muscat,Oman,False,1696.6898771292126,1700.7092687861768,6.0,4.0,12.0,9.0
2014-10-10,Malta,Norway,0.0,3.0,UEFA Euro qualification,Attard,Malta,False,513.0211498972812,1484.6987600164284,6.0,25.0,6.0,17.0
2014-10-10,Senegal,Tunisia,0.0,0.0,African Cup of Nations qualification,Dakar,Senegal,False,1686.5721421660585,1759.1639973136703,15.0,10.0,13.0,8.0
2014-10-10,Saint Vincent and the Grenadines,Curaçao,1.0,0.0,CFU Caribbean Cup qualification,Les Abymes,Guadeloupe,True,1200.2792917758063,982.609328499755,13.0,14.0,19.0,20.0
2014-10-10,Trinidad and Tobago,Saint Lucia,2.0,0.0,CFU Caribbean Cup qualification,Couva,Trinidad and Tobago,False,1440.413992491715,923.3326223210807,17.0,11.0,7.0,12.0
2014-10-10,Saudi Arabia,Uruguay,1.0,1.0,Friendly,Jeddah,Saudi Arabia,False,1583.4561694583165,2001.2177186247723,9.0,17.0,11.0,7.0
2014-10-10,United Arab Emirates,Australia,0.0,0.0,Friendly,Abu Dhabi,United Arab Emirates,False,1674.0877382135739,1844.3424414400852,23.0,6.0,14.0,19.0
2014-10-10,Wales,Bosnia and Herzegovina,0.0,0.0,UEFA Euro qualification,Cardiff,Wales,False,1285.9733188062191,1567.0643536452249,10.0,13.0,12.0,11.0
2014-10-10,Chile,Peru,3.0,0.0,Friendly,Valparaiso,Chile,False,1964.3323827795016,1444.5291736180613,14.0,7.0,12.0,20.0
2014-10-10,Netherlands,Kazakhstan,3.0,1.0,UEFA Euro qualification,Amsterdam,Netherlands,False,2283.920209020795,875.4812528842637,18.0,8.0,15.0,12.0
2014-10-10,Uzbekistan,Bahrain,0.0,0.0,Friendly,Dubai,United Arab Emirates,True,1594.3342959713543,1516.9244123428746,14.0,8.0,6.0,2.0
2014-10-11,Albania,Denmark,1.0,1.0,UEFA Euro qualification,Elbasan,Albania,False,1191.1501095789743,1718.510895491124,8.0,7.0,19.0,10.0
2014-10-11,France,Portugal,2.0,1.0,Friendly,Saint-Denis,France,False,2147.620341656776,2061.3693160702073,25.0,5.0,19.0,12.0
2014-10-11,Finland,Greece,1.0,1.0,UEFA Euro qualification,Helsinki,Finland,False,1449.124238784661,1828.8617488872576,11.0,11.0,6.0,10.0
2014-10-11,Ethiopia,Mali,0.0,2.0,African Cup of Nations qualification,Addis Ababa,Ethiopia,False,1253.395709551716,1443.722725447096,12.0,15.0,9.0,13.0
2014-10-11,DR Congo,Ivory Coast,1.0,2.0,African Cup of Nations qualification,Kinshasa,DR Congo,False,1323.4664858916124,1997.3020448565308,6.0,8.0,16.0,17.0
2014-10-11,Guinea,Ghana,1.0,1.0,African Cup of Nations qualification,Casablanca,Morocco,True,1547.4375074713585,1810.0654834694124,17.0,15.0,14.0,13.0
2014-10-11,Cameroon,Sierra Leone,0.0,0.0,African Cup of Nations qualification,Yaoundé,Cameroon,False,1748.9552697251615,1151.684051036621,14.0,19.0,11.0,12.0
2014-10-11,Armenia,Serbia,1.0,1.0,UEFA Euro qualification,Yerevan,Armenia,False,1007.6363694844486,1629.5767893204875,13.0,23.0,17.0,8.0
2014-10-11,Argentina,Brazil,0.0,2.0,Superclásico de las Américas,Beijing,China,True,2350.6154421004244,2542.4055246676403,17.0,6.0,17.0,14.0
2014-10-11,Gabon,Burkina Faso,2.0,0.0,African Cup of Nations qualification,Libreville,Gabon,False,1355.0962281438485,1395.3316859249821,8.0,9.0,12.0,12.0
2014-10-11,Romania,Hungary,1.0,1.0,UEFA Euro qualification,Bucharest,Romania,False,1704.4793058157622,1459.916932432089,14.0,8.0,17.0,19.0
2014-10-11,Republic of Ireland,Gibraltar,7.0,0.0,UEFA Euro qualification,Dublin,Republic of Ireland,False,1694.4412441421257,1428.5946072738886,14.0,12.0,21.0,21.0
2014-10-11,Malawi,Algeria,0.0,2.0,African Cup of Nations qualification,Blantyre,Malawi,False,1118.0840591469967,1683.374263497023,9.0,14.0,18.0,10.0
2014-10-11,Uganda,Togo,0.0,1.0,African Cup of Nations qualification,Kampala,Uganda,False,1633.5472244626376,1176.9013078608193,10.0,7.0,10.0,17.0
