model,match_id,match,is_wc,outcome,action,model_p,implied,diff,hit,pnl
M1 Poisson+DC,26MAY16IRLGRN,Ireland vs Grenada,False,home,BUY,0.9285,0.7745,0.154,1.0,0.2255
M1 Poisson+DC,26MAY16IRLGRN,Ireland vs Grenada,False,draw,SELL,0.0615,0.1961,-0.1346,0.0,0.1961
M2 NegBin+DC,26MAY16IRLGRN,Ireland vs Grenada,False,home,BUY,0.927,0.7745,0.1525,1.0,0.2255
M2 NegBin+DC,26MAY16IRLGRN,Ireland vs Grenada,False,draw,SELL,0.0628,0.1961,-0.1333,0.0,0.1961
M3 NegBin+Frank,26MAY16IRLGRN,Ireland vs Grenada,False,home,BUY,0.9347,0.7745,0.1602,1.0,0.2255
M3 NegBin+Frank,26MAY16IRLGRN,Ireland vs Grenada,False,draw,SELL,0.0562,0.1961,-0.1399,0.0,0.1961
M3 NegBin+Frank,26MAY16IRLGRN,Ireland vs Grenada,False,away,SELL,0.0091,0.0294,-0.0203,0.0,0.0294
M1 Poisson+DC,26MAY22MEXGHA,Mexico vs Ghana,False,home,SELL,0.599,0.7379,-0.1389,1.0,-0.2621
M1 Poisson+DC,26MAY22MEXGHA,Mexico vs Ghana,False,draw,BUY,0.2603,0.1748,0.0856,0.0,-0.1748
M1 Poisson+DC,26MAY22MEXGHA,Mexico vs Ghana,False,away,BUY,0.1407,0.0874,0.0533,0.0,-0.0874
M2 NegBin+DC,26MAY22MEXGHA,Mexico vs Ghana,False,home,SELL,0.5986,0.7379,-0.1393,1.0,-0.2621
M2 NegBin+DC,26MAY22MEXGHA,Mexico vs Ghana,False,draw,BUY,0.2605,0.1748,0.0857,0.0,-0.1748
M2 NegBin+DC,26MAY22MEXGHA,Mexico vs Ghana,False,away,BUY,0.1409,0.0874,0.0536,0.0,-0.0874
M3 NegBin+Frank,26MAY22MEXGHA,Mexico vs Ghana,False,home,SELL,0.6276,0.7379,-0.1102,1.0,-0.2621
M3 NegBin+Frank,26MAY22MEXGHA,Mexico vs Ghana,False,draw,BUY,0.2489,0.1748,0.0742,0.0,-0.1748
M3 NegBin+Frank,26MAY22MEXGHA,Mexico vs Ghana,False,away,BUY,0.1234,0.0874,0.036,0.0,-0.0874
M1 Poisson+DC,26MAY26MARBDI,Morocco vs Burundi,False,home,SELL,0.8796,0.9796,-0.1,1.0,-0.0204
M1 Poisson+DC,26MAY26MARBDI,Morocco vs Burundi,False,draw,BUY,0.1083,0.0102,0.0981,0.0,-0.0102
M2 NegBin+DC,26MAY26MARBDI,Morocco vs Burundi,False,home,SELL,0.8783,0.9796,-0.1013,1.0,-0.0204
M2 NegBin+DC,26MAY26MARBDI,Morocco vs Burundi,False,draw,BUY,0.1094,0.0102,0.0992,0.0,-0.0102
M3 NegBin+Frank,26MAY26MARBDI,Morocco vs Burundi,False,home,SELL,0.8993,0.9796,-0.0803,1.0,-0.0204
M3 NegBin+Frank,26MAY26MARBDI,Morocco vs Burundi,False,draw,BUY,0.0917,0.0102,0.0815,0.0,-0.0102
M1 Poisson+DC,26MAY26NGRZIM,Nigeria vs Zimbabwe,False,home,SELL,0.6951,0.82,-0.1249,1.0,-0.18
M1 Poisson+DC,26MAY26NGRZIM,Nigeria vs Zimbabwe,False,draw,BUY,0.2018,0.14,0.0618,0.0,-0.14
M1 Poisson+DC,26MAY26NGRZIM,Nigeria vs Zimbabwe,False,away,BUY,0.103,0.04,0.063,0.0,-0.04
M2 NegBin+DC,26MAY26NGRZIM,Nigeria vs Zimbabwe,False,home,SELL,0.694,0.82,-0.126,1.0,-0.18
M2 NegBin+DC,26MAY26NGRZIM,Nigeria vs Zimbabwe,False,draw,BUY,0.2022,0.14,0.0622,0.0,-0.14
M2 NegBin+DC,26MAY26NGRZIM,Nigeria vs Zimbabwe,False,away,BUY,0.1038,0.04,0.0638,0.0,-0.04
M3 NegBin+Frank,26MAY26NGRZIM,Nigeria vs Zimbabwe,False,home,SELL,0.7004,0.82,-0.1196,1.0,-0.18
M3 NegBin+Frank,26MAY26NGRZIM,Nigeria vs Zimbabwe,False,draw,BUY,0.2031,0.14,0.0631,0.0,-0.14
M3 NegBin+Frank,26MAY26NGRZIM,Nigeria vs Zimbabwe,False,away,BUY,0.0965,0.04,0.0565,0.0,-0.04
M1 Poisson+DC,26MAY27JAMIND,Jamaica vs India,False,home,SELL,0.5682,0.8641,-0.2958,1.0,-0.1359
M1 Poisson+DC,26MAY27JAMIND,Jamaica vs India,False,draw,BUY,0.3461,0.1068,0.2393,0.0,-0.1068
M1 Poisson+DC,26MAY27JAMIND,Jamaica vs India,False,away,BUY,0.0857,0.0291,0.0565,0.0,-0.0291
M2 NegBin+DC,26MAY27JAMIND,Jamaica vs India,False,home,SELL,0.5673,0.8641,-0.2968,1.0,-0.1359
M2 NegBin+DC,26MAY27JAMIND,Jamaica vs India,False,draw,BUY,0.3469,0.1068,0.2401,0.0,-0.1068
M2 NegBin+DC,26MAY27JAMIND,Jamaica vs India,False,away,BUY,0.0858,0.0291,0.0567,0.0,-0.0291
M3 NegBin+Frank,26MAY27JAMIND,Jamaica vs India,False,home,SELL,0.5816,0.8641,-0.2825,1.0,-0.1359
M3 NegBin+Frank,26MAY27JAMIND,Jamaica vs India,False,draw,BUY,0.3463,0.1068,0.2395,0.0,-0.1068
M3 NegBin+Frank,26MAY27JAMIND,Jamaica vs India,False,away,BUY,0.0721,0.0291,0.043,0.0,-0.0291
M1 Poisson+DC,26MAY28EGYRUS,Egypt vs Russia,False,home,SELL,0.3418,0.375,-0.0332,1.0,-0.625
M1 Poisson+DC,26MAY28EGYRUS,Egypt vs Russia,False,draw,SELL,0.3662,0.4038,-0.0376,0.0,0.4038
M1 Poisson+DC,26MAY28EGYRUS,Egypt vs Russia,False,away,BUY,0.292,0.2212,0.0708,0.0,-0.2212
M2 NegBin+DC,26MAY28EGYRUS,Egypt vs Russia,False,home,SELL,0.3414,0.375,-0.0336,1.0,-0.625
M2 NegBin+DC,26MAY28EGYRUS,Egypt vs Russia,False,draw,SELL,0.3654,0.4038,-0.0385,0.0,0.4038
M2 NegBin+DC,26MAY28EGYRUS,Egypt vs Russia,False,away,BUY,0.2933,0.2212,0.0721,0.0,-0.2212
M3 NegBin+Frank,26MAY28EGYRUS,Egypt vs Russia,False,home,SELL,0.3293,0.375,-0.0457,1.0,-0.625
M3 NegBin+Frank,26MAY28EGYRUS,Egypt vs Russia,False,away,BUY,0.2813,0.2212,0.0602,0.0,-0.2212
M1 Poisson+DC,26MAY28IRLQAT,Ireland vs Qatar,False,home,SELL,0.7487,0.8713,-0.1226,1.0,-0.1287
M1 Poisson+DC,26MAY28IRLQAT,Ireland vs Qatar,False,draw,BUY,0.1688,0.099,0.0697,0.0,-0.099
M1 Poisson+DC,26MAY28IRLQAT,Ireland vs Qatar,False,away,BUY,0.0825,0.0297,0.0528,0.0,-0.0297
M2 NegBin+DC,26MAY28IRLQAT,Ireland vs Qatar,False,home,SELL,0.7471,0.8713,-0.1242,1.0,-0.1287
M2 NegBin+DC,26MAY28IRLQAT,Ireland vs Qatar,False,draw,BUY,0.1694,0.099,0.0704,0.0,-0.099
M2 NegBin+DC,26MAY28IRLQAT,Ireland vs Qatar,False,away,BUY,0.0835,0.0297,0.0538,0.0,-0.0297
M3 NegBin+Frank,26MAY28IRLQAT,Ireland vs Qatar,False,home,SELL,0.7744,0.8713,-0.0968,1.0,-0.1287
M3 NegBin+Frank,26MAY28IRLQAT,Ireland vs Qatar,False,draw,BUY,0.1548,0.099,0.0558,0.0,-0.099
M3 NegBin+Frank,26MAY28IRLQAT,Ireland vs Qatar,False,away,BUY,0.0707,0.0297,0.041,0.0,-0.0297
M1 Poisson+DC,26MAY29IRIGAM,IR Iran vs Gambia,False,home,BUY,0.6839,0.6346,0.0493,1.0,0.3654
M1 Poisson+DC,26MAY29IRIGAM,IR Iran vs Gambia,False,draw,SELL,0.1933,0.2212,-0.0278,0.0,0.2212
M1 Poisson+DC,26MAY29IRIGAM,IR Iran vs Gambia,False,away,SELL,0.1228,0.1442,-0.0214,0.0,0.1442
M2 NegBin+DC,26MAY29IRIGAM,IR Iran vs Gambia,False,home,BUY,0.6832,0.6346,0.0486,1.0,0.3654
M2 NegBin+DC,26MAY29IRIGAM,IR Iran vs Gambia,False,draw,SELL,0.1934,0.2212,-0.0277,0.0,0.2212
M2 NegBin+DC,26MAY29IRIGAM,IR Iran vs Gambia,False,away,SELL,0.1234,0.1442,-0.0209,0.0,0.1442
M3 NegBin+Frank,26MAY29IRIGAM,IR Iran vs Gambia,False,home,BUY,0.6982,0.6346,0.0636,1.0,0.3654
M3 NegBin+Frank,26MAY29IRIGAM,IR Iran vs Gambia,False,draw,SELL,0.1891,0.2212,-0.0321,0.0,0.2212
M3 NegBin+Frank,26MAY29IRIGAM,IR Iran vs Gambia,False,away,SELL,0.1127,0.1442,-0.0315,0.0,0.1442
M1 Poisson+DC,26MAY29RSANIC,South Africa vs Nicaragua,False,home,BUY,0.8502,0.6765,0.1738,0.0,-0.6765
M1 Poisson+DC,26MAY29RSANIC,South Africa vs Nicaragua,False,draw,SELL,0.1143,0.2745,-0.1602,1.0,-0.7255
M2 NegBin+DC,26MAY29RSANIC,South Africa vs Nicaragua,False,home,BUY,0.8476,0.6765,0.1712,0.0,-0.6765
M2 NegBin+DC,26MAY29RSANIC,South Africa vs Nicaragua,False,draw,SELL,0.1161,0.2745,-0.1584,1.0,-0.7255
M3 NegBin+Frank,26MAY29RSANIC,South Africa vs Nicaragua,False,home,BUY,0.8641,0.6765,0.1876,0.0,-0.6765
M3 NegBin+Frank,26MAY29RSANIC,South Africa vs Nicaragua,False,draw,SELL,0.1048,0.2745,-0.1697,1.0,-0.7255
M1 Poisson+DC,26MAY29ANDIRQ,Andorra vs Iraq,False,home,BUY,0.0416,0.0198,0.0218,0.0,-0.0198
M1 Poisson+DC,26MAY29ANDIRQ,Andorra vs Iraq,False,draw,BUY,0.2809,0.0891,0.1918,0.0,-0.0891
M1 Poisson+DC,26MAY29ANDIRQ,Andorra vs Iraq,False,away,SELL,0.6776,0.8911,-0.2135,1.0,-0.1089
M2 NegBin+DC,26MAY29ANDIRQ,Andorra vs Iraq,False,home,BUY,0.0418,0.0198,0.022,0.0,-0.0198
M2 NegBin+DC,26MAY29ANDIRQ,Andorra vs Iraq,False,draw,BUY,0.2816,0.0891,0.1925,0.0,-0.0891
M2 NegBin+DC,26MAY29ANDIRQ,Andorra vs Iraq,False,away,SELL,0.6766,0.8911,-0.2145,1.0,-0.1089
M3 NegBin+Frank,26MAY29ANDIRQ,Andorra vs Iraq,False,draw,BUY,0.2826,0.0891,0.1935,0.0,-0.0891
M3 NegBin+Frank,26MAY29ANDIRQ,Andorra vs Iraq,False,away,SELL,0.6826,0.8911,-0.2085,1.0,-0.1089
M1 Poisson+DC,26MAY29BIHMKD,Bosnia and Herzegovina vs North Macedonia,False,home,BUY,0.567,0.5098,0.0572,0.0,-0.5098
M1 Poisson+DC,26MAY29BIHMKD,Bosnia and Herzegovina vs North Macedonia,False,draw,SELL,0.2644,0.3431,-0.0788,1.0,-0.6569
M1 Poisson+DC,26MAY29BIHMKD,Bosnia and Herzegovina vs North Macedonia,False,away,BUY,0.1686,0.1471,0.0215,0.0,-0.1471
M2 NegBin+DC,26MAY29BIHMKD,Bosnia and Herzegovina vs North Macedonia,False,home,BUY,0.5664,0.5098,0.0566,0.0,-0.5098
M2 NegBin+DC,26MAY29BIHMKD,Bosnia and Herzegovina vs North Macedonia,False,draw,SELL,0.2646,0.3431,-0.0786,1.0,-0.6569
M2 NegBin+DC,26MAY29BIHMKD,Bosnia and Herzegovina vs North Macedonia,False,away,BUY,0.169,0.1471,0.022,0.0,-0.1471
M3 NegBin+Frank,26MAY29BIHMKD,Bosnia and Herzegovina vs North Macedonia,False,home,BUY,0.5855,0.5098,0.0757,0.0,-0.5098
M3 NegBin+Frank,26MAY29BIHMKD,Bosnia and Herzegovina vs North Macedonia,False,draw,SELL,0.2621,0.3431,-0.0811,1.0,-0.6569
M1 Poisson+DC,26MAY30SCOCUW,Scotland vs Curacao,False,home,BUY,0.8631,0.7921,0.071,1.0,0.2079
M1 Poisson+DC,26MAY30SCOCUW,Scotland vs Curacao,False,draw,SELL,0.1026,0.1782,-0.0756,0.0,0.1782
M2 NegBin+DC,26MAY30SCOCUW,Scotland vs Curacao,False,home,BUY,0.8603,0.7921,0.0682,1.0,0.2079
M2 NegBin+DC,26MAY30SCOCUW,Scotland vs Curacao,False,draw,SELL,0.1044,0.1782,-0.0738,0.0,0.1782
M3 NegBin+Frank,26MAY30SCOCUW,Scotland vs Curacao,False,home,BUY,0.8789,0.7921,0.0868,1.0,0.2079
M3 NegBin+Frank,26MAY30SCOCUW,Scotland vs Curacao,False,draw,SELL,0.0919,0.1782,-0.0863,0.0,0.1782
M1 Poisson+DC,26MAY30ZIMIND,Zimbabwe vs India,False,home,BUY,0.7511,0.5644,0.1867,1.0,0.4356
M1 Poisson+DC,26MAY30ZIMIND,Zimbabwe vs India,False,draw,SELL,0.2036,0.3168,-0.1132,0.0,0.3168
M1 Poisson+DC,26MAY30ZIMIND,Zimbabwe vs India,False,away,SELL,0.0453,0.1188,-0.0735,0.0,0.1188
M2 NegBin+DC,26MAY30ZIMIND,Zimbabwe vs India,False,home,BUY,0.7491,0.5644,0.1848,1.0,0.4356
M2 NegBin+DC,26MAY30ZIMIND,Zimbabwe vs India,False,draw,SELL,0.2051,0.3168,-0.1117,0.0,0.3168
M2 NegBin+DC,26MAY30ZIMIND,Zimbabwe vs India,False,away,SELL,0.0457,0.1188,-0.0731,0.0,0.1188
M3 NegBin+Frank,26MAY30ZIMIND,Zimbabwe vs India,False,home,BUY,0.7635,0.5644,0.1991,1.0,0.4356
M3 NegBin+Frank,26MAY30ZIMIND,Zimbabwe vs India,False,draw,SELL,0.1978,0.3168,-0.1191,0.0,0.3168
M3 NegBin+Frank,26MAY30ZIMIND,Zimbabwe vs India,False,away,SELL,0.0387,0.1188,-0.0801,0.0,0.1188
M1 Poisson+DC,26MAY30NGRJAM,Nigeria vs Jamaica,False,home,SELL,0.717,0.7647,-0.0477,1.0,-0.2353
M1 Poisson+DC,26MAY30NGRJAM,Nigeria vs Jamaica,False,draw,BUY,0.211,0.1765,0.0345,0.0,-0.1765
M2 NegBin+DC,26MAY30NGRJAM,Nigeria vs Jamaica,False,home,SELL,0.7139,0.7647,-0.0508,1.0,-0.2353
M2 NegBin+DC,26MAY30NGRJAM,Nigeria vs Jamaica,False,draw,BUY,0.213,0.1765,0.0365,0.0,-0.1765
M3 NegBin+Frank,26MAY30NGRJAM,Nigeria vs Jamaica,False,home,SELL,0.7194,0.7647,-0.0453,1.0,-0.2353
M3 NegBin+Frank,26MAY30NGRJAM,Nigeria vs Jamaica,False,draw,BUY,0.2135,0.1765,0.037,0.0,-0.1765
M3 NegBin+Frank,26MAY30KORTTO,Korea Republic vs Trinidad and Tobago,False,home,BUY,0.9301,0.8932,0.0369,1.0,0.1068
M3 NegBin+Frank,26MAY30KORTTO,Korea Republic vs Trinidad and Tobago,False,away,SELL,0.0153,0.0388,-0.0235,0.0,0.0388
M4 NegBin+Frank (calib 1X2),26MAY30KORTTO,Korea Republic vs Trinidad and Tobago,False,home,BUY,0.9458,0.8932,0.0526,1.0,0.1068
M4 NegBin+Frank (calib 1X2),26MAY30KORTTO,Korea Republic vs Trinidad and Tobago,False,draw,SELL,0.0338,0.068,-0.0342,0.0,0.068
M5 NegBin+Frank (calib 1X2+O/U),26MAY30KORTTO,Korea Republic vs Trinidad and Tobago,False,home,BUY,0.9458,0.8932,0.0526,1.0,0.1068
M5 NegBin+Frank (calib 1X2+O/U),26MAY30KORTTO,Korea Republic vs Trinidad and Tobago,False,draw,SELL,0.0338,0.068,-0.0342,0.0,0.068
M1 Poisson+DC,26MAY30ECUKSA,Ecuador vs Saudi Arabia,False,home,BUY,0.6495,0.625,0.0245,1.0,0.375
M1 Poisson+DC,26MAY30ECUKSA,Ecuador vs Saudi Arabia,False,draw,BUY,0.2741,0.2308,0.0433,0.0,-0.2308
