model,match_id,match,scoreline,actual,action,model_p,implied,diff,hit,pnl
M3 NegBin+Frank,26JUN11MEXRSA,Mexico vs South Africa,0-0,2-0,BUY,0.1022,0.0056,0.0965,0.0,-0.0056
M3 NegBin+Frank,26JUN11MEXRSA,Mexico vs South Africa,0-1,2-0,BUY,0.0391,0.0056,0.0335,0.0,-0.0056
M3 NegBin+Frank,26JUN11MEXRSA,Mexico vs South Africa,1-0,2-0,BUY,0.1804,0.1469,0.0335,0.0,-0.1469
M3 NegBin+Frank,26JUN11MEXRSA,Mexico vs South Africa,1-1,2-0,BUY,0.0808,0.0565,0.0243,0.0,-0.0565
M3 NegBin+Frank,26JUN11MEXRSA,Mexico vs South Africa,2-1,2-0,BUY,0.0851,0.0339,0.0512,0.0,-0.0339
M3 NegBin+Frank,26JUN11MEXRSA,Mexico vs South Africa,3-1,2-0,SELL,0.0581,0.0847,-0.0266,0.0,0.0847
M3 NegBin+Frank,26JUN11MEXRSA,Mexico vs South Africa,3-2,2-0,SELL,0.0163,0.2147,-0.1984,0.0,0.2147
M4 NegBin+Frank (calib 1X2),26JUN11MEXRSA,Mexico vs South Africa,0-0,2-0,BUY,0.0718,0.0056,0.0662,0.0,-0.0056
M4 NegBin+Frank (calib 1X2),26JUN11MEXRSA,Mexico vs South Africa,0-1,2-0,BUY,0.0399,0.0056,0.0343,0.0,-0.0056
M4 NegBin+Frank (calib 1X2),26JUN11MEXRSA,Mexico vs South Africa,1-1,2-0,BUY,0.0868,0.0565,0.0303,0.0,-0.0565
M4 NegBin+Frank (calib 1X2),26JUN11MEXRSA,Mexico vs South Africa,1-2,2-0,BUY,0.029,0.0056,0.0233,0.0,-0.0056
M4 NegBin+Frank (calib 1X2),26JUN11MEXRSA,Mexico vs South Africa,2-0,2-0,SELL,0.127,0.1695,-0.0425,1.0,-0.8305
M4 NegBin+Frank (calib 1X2),26JUN11MEXRSA,Mexico vs South Africa,2-1,2-0,BUY,0.0957,0.0339,0.0618,0.0,-0.0339
M4 NegBin+Frank (calib 1X2),26JUN11MEXRSA,Mexico vs South Africa,3-2,2-0,SELL,0.0278,0.2147,-0.1869,0.0,0.2147
M5 NegBin+Frank (calib 1X2+O/U),26JUN11MEXRSA,Mexico vs South Africa,0-0,2-0,BUY,0.125,0.0056,0.1193,0.0,-0.0056
M5 NegBin+Frank (calib 1X2+O/U),26JUN11MEXRSA,Mexico vs South Africa,0-1,2-0,BUY,0.0401,0.0056,0.0345,0.0,-0.0056
M5 NegBin+Frank (calib 1X2+O/U),26JUN11MEXRSA,Mexico vs South Africa,1-0,2-0,BUY,0.2053,0.1469,0.0584,0.0,-0.1469
M5 NegBin+Frank (calib 1X2+O/U),26JUN11MEXRSA,Mexico vs South Africa,1-1,2-0,BUY,0.0785,0.0565,0.022,0.0,-0.0565
M5 NegBin+Frank (calib 1X2+O/U),26JUN11MEXRSA,Mexico vs South Africa,2-1,2-0,BUY,0.0781,0.0339,0.0442,0.0,-0.0339
M5 NegBin+Frank (calib 1X2+O/U),26JUN11MEXRSA,Mexico vs South Africa,3-1,2-0,SELL,0.05,0.0847,-0.0348,0.0,0.0847
M5 NegBin+Frank (calib 1X2+O/U),26JUN11MEXRSA,Mexico vs South Africa,3-2,2-0,SELL,0.0118,0.2147,-0.2029,0.0,0.2147
M3 NegBin+Frank,26JUN11KORCZE,Korea Republic vs Czechia,0-0,2-1,SELL,0.0859,0.2537,-0.1678,0.0,0.2537
M3 NegBin+Frank,26JUN11KORCZE,Korea Republic vs Czechia,1-0,2-1,SELL,0.1066,0.194,-0.0875,0.0,0.194
M3 NegBin+Frank,26JUN11KORCZE,Korea Republic vs Czechia,1-1,2-1,BUY,0.1234,0.0896,0.0339,0.0,-0.0896
M3 NegBin+Frank,26JUN11KORCZE,Korea Republic vs Czechia,1-2,2-1,BUY,0.0707,0.0075,0.0632,0.0,-0.0075
M3 NegBin+Frank,26JUN11KORCZE,Korea Republic vs Czechia,1-3,2-1,BUY,0.0276,0.0075,0.0201,0.0,-0.0075
M3 NegBin+Frank,26JUN11KORCZE,Korea Republic vs Czechia,2-1,2-1,BUY,0.0882,0.0373,0.0509,1.0,0.9627
M3 NegBin+Frank,26JUN11KORCZE,Korea Republic vs Czechia,2-2,2-1,BUY,0.0576,0.0224,0.0352,0.0,-0.0224
M3 NegBin+Frank,26JUN11KORCZE,Korea Republic vs Czechia,3-1,2-1,SELL,0.042,0.1343,-0.0923,0.0,0.1343
M3 NegBin+Frank,26JUN11KORCZE,Korea Republic vs Czechia,3-2,2-1,BUY,0.0299,0.0075,0.0224,0.0,-0.0075
M4 NegBin+Frank (calib 1X2),26JUN11KORCZE,Korea Republic vs Czechia,0-0,2-1,BUY,0.2954,0.2537,0.0417,0.0,-0.2537
M4 NegBin+Frank (calib 1X2),26JUN11KORCZE,Korea Republic vs Czechia,0-1,2-1,BUY,0.142,0.1045,0.0375,0.0,-0.1045
