team,year,squad_size,squad_avg,squad_std,attack_avg,midfield_avg,defence_avg,bench_avg,bench_std,gk_rating
Albania,2015,25,67.16,0.7564830908002284,66.75,66.07692307692308,69.125,64.42857142857143,0.5104865779928323,72.0
Algeria,2015,25,72.4,0.6191391873668902,73.6,72.0,72.28571428571429,70.21428571428571,0.3947258253991606,73.0
Angola,2015,6,64.0,2.3161265887513367,72.5,60.0,59.666666666666664,61.76609358765752,0.30754509822322046,59.666666666666664
Antigua and Barbuda,2015,4,59.5,2.3161265887513367,62.0,57.0,57.0,57.26609358765752,0.30754509822322046,57.0
Argentina,2015,25,81.52,0.6711184694225006,85.33333333333333,80.5,80.18181818181819,79.28571428571429,0.16336339282767592,79.0
Armenia,2015,6,73.0,2.3161265887513367,77.5,71.0,70.0,70.76609358765752,0.30754509822322046,70.0
Australia,2015,25,70.24,0.51406873729752,68.5,70.08333333333333,70.72727272727273,68.42857142857143,0.2911569516371817,76.0
Austria,2015,25,73.64,0.58560510015994,71.83333333333333,73.8,74.66666666666667,71.57142857142857,0.34313175815375807,72.0
Azerbaijan,2015,2,61.0,1.0,,62.0,60.0,58.76609358765752,0.30754509822322046,60.0
Bahrain,2015,1,68.0,,,,68.0,65.76609358765752,0.30754509822322046,68.0
Barbados,2015,2,65.5,2.3161265887513367,61.0,,70.0,63.26609358765752,0.30754509822322046,70.0
Belarus,2015,16,66.5625,1.0122942177713619,,68.5,64.625,64.32859358765752,0.48989794855663554,71.0
Belgium,2015,25,79.28,0.7405403432629444,76.5,79.41666666666667,81.42857142857143,76.78571428571429,0.51545958825805,86.0
Benin,2015,14,64.5,1.5290232463609206,63.0,65.0,65.25,62.26609358765752,0.7964680945990669,56.0
Bermuda,2015,2,61.5,2.3161265887513367,66.0,,57.0,59.26609358765752,0.30754509822322046,57.0
Bolivia,2015,23,62.47826086956522,1.1155912047148453,65.75,62.7,60.77777777777778,58.5,0.7964680945990669,63.0
Bosnia and Herzegovina,2015,25,73.0,1.0567244989431572,76.66666666666667,72.3076923076923,72.77777777777777,69.07142857142857,0.5785951697747365,82.0
Brazil,2015,25,82.24,0.3015515434106307,83.66666666666667,81.7,82.33333333333333,81.42857142857143,0.13725270326150324,82.0
Bulgaria,2015,25,69.24,0.710117361192266,69.83333333333333,69.15384615384616,68.83333333333333,67.07142857142857,0.22149059748072938,72.0
Burkina Faso,2015,18,66.61111111111111,1.3482956777235109,67.16666666666667,66.25,66.5,64.37720469876864,0.7964680945990669,66.5
Burundi,2015,2,59.5,2.3161265887513367,66.0,,53.0,57.26609358765752,0.30754509822322046,53.0
Cambodia,2015,1,63.0,,63.0,,,60.76609358765752,0.30754509822322046,
Cameroon,2015,25,74.6,0.6708203932499368,76.0,73.22222222222223,75.0909090909091,72.28571428571429,0.5686746827664005,73.0
Canada,2015,25,65.08,0.816333265278342,66.2,65.54545454545455,63.888888888888886,62.57142857142857,0.48848595100863446,64.0
Cape Verde Islands,2015,25,64.88,0.8627861844049198,66.18181818181819,63.6,64.0,61.642857142857146,0.5985985726489783,59.0
Central African Republic,2015,7,61.0,1.8126539343499313,61.0,62.0,60.0,58.76609358765752,0.30754509822322046,57.0
Chile,2015,25,75.8,0.6952217871538069,76.33333333333333,75.6,75.75,73.64285714285714,0.22500654098289308,83.0
China PR,2015,2,62.5,2.3161265887513367,,62.5,,60.26609358765752,0.30754509822322046,
Colombia,2015,25,77.32,0.7868078969269858,77.54545454545455,78.57142857142857,75.71428571428571,74.64285714285714,0.19909528496696088,77.0
Comoros,2015,4,65.25,1.181453906563152,67.0,65.0,64.5,63.01609358765752,0.30754509822322046,64.5
Congo,2015,13,66.07692307692308,1.8552128168112545,66.0,68.0,65.16666666666667,63.8430166645806,0.0,66.0
Congo DR,2015,25,69.32,0.5765414122159828,69.28571428571429,69.5,69.125,67.28571428571429,0.33852575386262335,68.0
Costa Rica,2015,25,68.36,1.0533755265810953,66.55555555555556,69.4,69.36363636363636,64.21428571428571,0.51545958825805,79.0
Croatia,2015,25,75.84,0.8673330771201261,74.83333333333333,76.25,76.0,72.78571428571429,0.4708954694739742,76.0
Cuba,2015,2,62.0,2.3161265887513367,,62.0,,59.76609358765752,0.30754509822322046,
Curacao,2015,5,63.2,2.1999999999999997,65.0,60.0,63.0,60.966093587657525,0.30754509822322046,63.0
Cyprus,2015,3,61.333333333333336,2.3161265887513367,,70.0,57.0,59.09942692099085,0.30754509822322046,57.0
Czech Republic,2015,25,73.96,0.6068497892120146,72.83333333333333,73.7,75.0,72.35714285714286,0.1692628769313117,85.0
Côte d'Ivoire,2015,25,76.04,0.7799145252312375,78.0,75.57142857142857,74.0,73.14285714285714,0.34541172847256507,74.0
Denmark,2015,25,74.44,0.6029925372672535,73.83333333333333,74.33333333333333,74.9,72.5,0.35933393817016385,77.0
Ecuador,2015,25,70.32,0.7364781055808786,70.5,70.54545454545455,69.25,67.71428571428571,0.4117581097845097,72.0
Egypt,2015,25,68.56,0.7259017380701974,69.6,69.5,67.1,65.85714285714286,0.5226427231030378,70.0
England,2015,25,80.28,0.38522720568516455,82.25,79.45454545454545,80.4,78.92857142857143,0.16456021024035097,82.0
Equatorial Guinea,2015,4,65.25,2.3161265887513367,70.0,70.0,60.5,63.01609358765752,0.30754509822322046,57.0
Estonia,2015,9,62.888888888888886,2.150222497818181,58.5,64.66666666666667,69.0,60.65498247654641,0.30754509822322046,64.0
Faroe Islands,2015,4,54.0,2.3161265887513367,50.0,50.0,58.0,51.76609358765752,0.30754509822322046,63.0
Fiji,2015,1,61.0,,61.0,,,58.76609358765752,0.30754509822322046,
Finland,2015,25,68.2,0.8144527815247079,66.4,69.0909090909091,68.11111111111111,65.42857142857143,0.34313175815375807,73.0
France,2015,25,81.8,0.40824829046386324,82.33333333333333,82.3,81.25,80.42857142857143,0.13725270326150324,85.0
Gabon,2015,12,67.75,1.7629391780360848,60.0,71.6,65.83333333333333,65.51609358765752,0.30754509822322046,68.0
Gambia,2015,12,61.416666666666664,1.097230213498581,58.0,61.833333333333336,62.5,59.18276025432418,0.30754509822322046,62.5
Georgia,2015,16,64.625,1.652964508592567,61.833333333333336,68.33333333333333,63.25,62.39109358765752,0.7964680945990669,63.25
Germany,2015,25,83.68,0.518716364371384,81.33333333333333,84.07692307692308,83.88888888888889,81.71428571428571,0.24424297550431723,90.0
Ghana,2015,25,72.36,0.6655323683588452,71.8,72.76470588235294,71.0,70.07142857142857,0.22149059748072938,71.0
Gibraltar,2015,1,64.0,,,,64.0,61.76609358765752,0.30754509822322046,64.0
Greece,2015,25,73.64,0.544303836718672,75.5,72.14285714285714,73.85714285714286,71.92857142857143,0.32249517782042164,74.0
Grenada,2015,2,60.5,2.3161265887513367,,60.5,,58.26609358765752,0.30754509822322046,
Guam,2015,1,68.0,,,,68.0,65.76609358765752,0.30754509822322046,68.0
Guatemala,2015,3,66.0,1.5275252316519468,,67.0,64.0,63.76609358765752,0.30754509822322046,64.0
Guinea,2015,25,65.04,1.1711532777565883,63.6,70.5,60.857142857142854,60.785714285714285,0.7964680945990669,58.0
Guinea Bissau,2015,10,64.7,2.118962010041709,66.33333333333333,62.25,,62.466093587657525,0.30754509822322046,
Guyana,2015,1,67.0,,,,67.0,64.76609358765752,0.30754509822322046,67.0
Haiti,2015,7,66.28571428571429,1.7956864414252194,,66.0,66.66666666666667,64.05180787337181,0.30754509822322046,72.0
Honduras,2015,18,67.0,0.9599836599916588,63.5,67.0,68.16666666666667,64.76609358765752,0.5084322977157767,68.16666666666667
Hungary,2015,25,69.2,0.6324555320336755,68.85714285714286,71.2,68.61538461538461,67.14285714285714,0.32912042048070195,71.0
Iceland,2015,25,68.04,0.6963715483370448,69.5,67.9090909090909,66.33333333333333,65.64285714285714,0.3249199877356598,66.33333333333333
India,2015,24,56.541666666666664,0.6888847494810963,59.0,55.75,56.25,54.53846153846154,0.5264221837858413,64.0
Indonesia,2015,1,58.0,,,,58.0,55.76609358765752,0.30754509822322046,58.0
Iran,2015,6,66.16666666666667,2.0723041389826076,63.0,75.0,65.33333333333333,63.932760254324194,0.30754509822322046,68.0
Iraq,2015,5,65.0,1.816590212458495,,63.25,72.0,62.76609358765752,0.30754509822322046,72.0
Israel,2015,20,66.3,1.1945049624271797,68.85714285714286,65.22222222222223,64.25,64.06609358765752,0.7964680945990669,64.25
Italy,2015,25,81.04,0.38935844667863573,80.875,80.9,81.42857142857143,79.5,0.20299948573528753,84.0
Jamaica,2015,25,66.36,0.4928826770473205,66.71428571428571,65.88888888888889,66.55555555555556,64.57142857142857,0.34313175815375807,68.0
Japan,2015,25,72.24,0.7794870107962033,71.5,72.76923076923077,71.83333333333333,69.5,0.44165025195843044,74.0
Jordan,2015,11,59.90909090909091,1.4299049266204915,58.0,62.2,58.0,57.67518449674843,0.30754509822322046,58.0
Kazakhstan,2015,3,63.666666666666664,2.3161265887513367,57.0,,67.0,61.43276025432418,0.30754509822322046,67.0
Kenya,2015,6,65.0,2.3094010767585034,68.0,66.33333333333333,61.5,62.76609358765752,0.30754509822322046,62.0
Korea DPR,2015,2,65.5,2.3161265887513367,65.5,,,63.26609358765752,0.30754509822322046,
Korea Republic,2015,25,71.2,0.5416025603090641,72.16666666666667,71.75,70.27272727272727,69.28571428571429,0.2657887169768753,73.0
Kosovo,2015,7,64.57142857142857,1.730085916627138,68.0,62.666666666666664,60.0,62.33752215908609,0.30754509822322046,60.0
Kuwait,2015,1,66.0,,,,66.0,63.76609358765752,0.30754509822322046,66.0
Kyrgyzstan,2015,1,62.0,,,,62.0,59.76609358765752,0.30754509822322046,62.0
Latvia,2015,11,62.27272727272727,1.8195449435649815,61.142857142857146,68.0,63.0,60.03882086038479,0.30754509822322046,68.0
Lebanon,2015,3,62.0,1.5275252316519468,63.0,,61.5,59.76609358765752,0.30754509822322046,59.0
Liberia,2015,5,67.0,2.2803508501982757,65.0,70.0,,64.76609358765752,0.30754509822322046,
Libya,2015,3,60.0,2.0,58.0,61.0,,57.76609358765752,0.30754509822322046,
